,path,expanded_node,fringe_size,depth
0,"['up', 'left', 'down', 'right', 'down', 'left', 'left', 'up', 'up']",326,346,9
1,"['right', 'right', 'down', 'left', 'up', 'right', 'up', 'left', 'left']",484,498,9
2,"['down', 'right', 'up', 'up', 'left']",41,48,5
3,"['up', 'right', 'up', 'left', 'left']",42,57,5
4,"['left', 'up', 'right', 'down', 'right', 'up', 'up', 'left', 'left']",423,451,9
5,"['down', 'right', 'up', 'right', 'up', 'left', 'left']",130,157,7
6,"['left', 'up', 'up']",15,19,3
7,"['down', 'left', 'down', 'right', 'up', 'right', 'up', 'left', 'left']",348,383,9
8,"['right', 'up', 'left']",13,21,3
9,"['right', 'up', 'left', 'up', 'left']",55,70,5
10,"['left', 'down', 'left', 'up', 'right', 'up', 'left']",157,180,7
11,"['right', 'right', 'down', 'left', 'left', 'up', 'up']",181,195,7
12,['left'],2,6,1
13,"['right', 'down', 'left', 'left', 'up']",59,71,5
14,"['right', 'up', 'left', 'left', 'up']",59,71,5
15,"['left', 'up', 'left', 'down', 'right', 'up', 'left']",143,169,7
16,"['up', 'left', 'left']",10,18,3
17,"['down', 'right', 'right', 'up', 'up', 'left', 'down', 'right', 'up', 'left', 'left']",1006,1051,11
18,['left'],2,6,1
19,['up'],1,3,1
20,"['down', 'right', 'up', 'up', 'left']",41,48,5
21,"['right', 'down', 'left', 'up', 'up']",53,60,5
22,"['right', 'up', 'left']",13,21,3
23,"['right', 'right', 'down', 'left', 'left', 'up', 'up']",181,195,7
24,"['left', 'up', 'up']",15,19,3
25,['left'],2,6,1
26,"['left', 'up', 'up']",15,19,3
27,"['left', 'left', 'down', 'right', 'right', 'up', 'up', 'left', 'left']",486,501,9
28,"['down', 'left', 'up', 'left', 'up']",43,49,5
29,"['right', 'right', 'up', 'left', 'left']",58,69,5
30,"['up', 'right', 'right', 'down', 'left', 'left', 'up']",120,145,7
31,"['right', 'up', 'up', 'left', 'left']",54,69,5
32,"['right', 'down', 'down', 'left', 'up', 'left', 'up']",167,176,7
33,"['right', 'down', 'left', 'up', 'left']",55,70,5
34,"['right', 'up', 'left']",13,21,3
35,"['left', 'left', 'down', 'right', 'right', 'up', 'left', 'left', 'up']",491,503,9
36,"['right', 'up', 'up', 'left', 'down', 'right', 'up', 'left', 'left']",450,473,9
37,"['right', 'up', 'left']",13,21,3
38,"['down', 'left', 'up', 'right', 'up', 'left', 'left']",131,161,7
39,"['left', 'down', 'right', 'right', 'up', 'left', 'down', 'left', 'up']",432,455,9
40,"['left', 'down', 'right', 'down', 'right', 'up', 'left', 'up', 'left']",426,453,9
41,"['right', 'down', 'left', 'up', 'left']",55,70,5
42,"['left', 'down', 'right', 'up', 'left', 'left', 'up']",167,187,7
43,"['left', 'down', 'down', 'right', 'right', 'up', 'left', 'up', 'left']",404,436,9
44,"['up', 'right', 'up', 'left', 'left']",42,57,5
45,['left'],2,6,1
46,"['down', 'right', 'up', 'left', 'down', 'down', 'left', 'up', 'up']",359,393,9
47,['left'],2,6,1
48,['up'],1,3,1
49,"['up', 'right', 'down', 'left', 'up']",35,43,5
50,"['up', 'up', 'right', 'down', 'left', 'left', 'up']",117,137,7
51,"['right', 'up', 'up', 'left', 'left']",54,69,5
52,"['up', 'right', 'right', 'down', 'down', 'left', 'up', 'up', 'left']",328,347,9
53,"['up', 'left', 'up']",11,16,3
54,"['up', 'up', 'left']",9,16,3
55,"['down', 'right', 'up', 'up', 'left']",41,48,5
56,"['left', 'up', 'right', 'up', 'left']",47,63,5
57,['left'],2,6,1
58,"['left', 'up', 'left']",13,22,3
59,"['up', 'right', 'down', 'right', 'down', 'left', 'up', 'left', 'up']",323,345,9
60,"['up', 'left', 'down', 'left', 'up']",35,43,5
61,"['up', 'right', 'down', 'down', 'left', 'up', 'up']",103,127,7
62,"['right', 'up', 'left', 'down', 'left', 'up', 'up']",177,187,7
63,"['up', 'up', 'left', 'down', 'right', 'up', 'right', 'down', 'left', 'up', 'left']",792,858,11
64,"['up', 'right', 'down', 'down', 'left', 'up', 'right', 'up', 'left']",293,327,9
65,"['right', 'down', 'left', 'left', 'up']",59,71,5
66,"['left', 'down', 'right', 'up', 'up', 'left', 'left']",164,186,7
67,"['up', 'left', 'down', 'right', 'up', 'left', 'left']",111,138,7
68,"['left', 'up', 'right', 'up', 'left']",47,63,5
69,"['right', 'down', 'down', 'left', 'left', 'up', 'up']",171,179,7
70,"['left', 'up', 'up', 'right', 'down', 'right', 'down', 'left', 'left', 'up', 'up']",1080,1098,11
71,"['down', 'down', 'right', 'up', 'left', 'down', 'left', 'up', 'up']",319,349,9
72,"['up', 'left', 'down', 'left', 'up']",35,43,5
73,"['right', 'down', 'left', 'up', 'right', 'up', 'left']",157,180,7
74,"['down', 'right', 'up', 'right', 'down', 'left', 'left', 'up', 'up']",381,390,9
75,"['down', 'down', 'right', 'up', 'up', 'left', 'left']",112,135,7
76,"['right', 'up', 'left']",13,21,3
77,"['down', 'right', 'right', 'up', 'up', 'left', 'left']",134,163,7
78,"['down', 'left', 'up']",11,16,3
79,['left'],2,6,1
80,"['up', 'right', 'down', 'left', 'up']",35,43,5
81,"['right', 'up', 'up', 'left', 'left']",54,69,5
82,"['left', 'up', 'left']",13,22,3
83,"['up', 'up', 'left']",9,16,3
84,"['up', 'left', 'left', 'down', 'down', 'right', 'right', 'up', 'up', 'left', 'left']",871,932,11
85,"['down', 'left', 'up']",11,16,3
86,"['left', 'down', 'right', 'up', 'left']",47,63,5
87,"['up', 'up', 'left']",9,16,3
88,"['left', 'up', 'up']",15,19,3
89,"['right', 'down', 'right', 'up', 'up', 'left', 'left']",162,185,7
90,"['left', 'up', 'right', 'up', 'left']",47,63,5
91,"['down', 'right', 'up', 'left', 'left']",42,57,5
92,"['up', 'up', 'left']",9,16,3
93,"['right', 'right', 'down', 'left', 'up', 'up', 'left']",176,192,7
94,"['left', 'down', 'left', 'up', 'up']",53,60,5
95,"['down', 'down', 'right', 'up', 'left', 'up', 'left']",113,136,7
96,"['right', 'up', 'left', 'down', 'left', 'up', 'up']",177,187,7
97,"['left', 'up', 'up']",15,19,3
98,"['down', 'right', 'down', 'left', 'up', 'left', 'up']",142,151,7
99,['left'],2,6,1
