,0,1,2,3,4,5,6,7,8
0,3,1,4,5,2,7,8,6,0
1,4,7,0,3,1,6,8,2,5
2,7,3,4,2,1,8,0,5,6
3,7,2,0,6,3,5,8,1,4
4,1,4,0,5,2,8,7,3,6
5,7,5,3,4,0,1,2,8,6
6,6,8,3,5,2,4,7,1,0
7,4,2,0,8,6,5,7,3,1
8,3,8,7,0,6,4,5,2,1
9,4,1,6,5,8,7,2,0,3
10,3,5,0,4,8,6,7,1,2
11,1,7,2,8,6,5,0,3,4
12,5,6,1,2,0,8,4,7,3
13,7,1,3,0,8,5,4,2,6
14,2,0,1,4,3,8,6,7,5
15,6,7,4,8,5,3,1,0,2
16,2,8,1,4,6,0,7,3,5
17,5,4,3,1,8,7,0,6,2
18,8,0,4,7,5,1,6,2,3
19,6,1,2,4,0,5,3,8,7
20,5,7,8,3,6,0,4,1,2
21,3,5,6,2,7,4,0,1,8
22,0,3,1,7,2,6,4,5,8
23,2,4,8,1,5,6,7,3,0
24,2,5,7,4,8,3,6,0,1
25,0,6,3,8,4,2,5,7,1
26,6,3,4,0,7,5,8,2,1
27,6,3,0,4,7,5,1,2,8
28,6,1,7,0,4,8,3,2,5
29,1,5,3,4,6,7,8,0,2
30,6,0,7,5,1,4,2,8,3
31,7,3,4,2,1,6,0,5,8
32,8,2,4,3,0,5,6,1,7
33,2,7,1,4,0,8,5,3,6
34,5,8,2,0,4,7,6,3,1
35,2,8,1,0,6,5,3,4,7
36,7,3,5,0,6,2,4,1,8
37,0,7,4,1,8,5,2,6,3
38,2,1,7,6,8,4,0,5,3
39,1,6,0,8,7,4,5,2,3
40,4,6,3,2,7,0,5,8,1
41,0,8,4,1,5,2,3,6,7
42,2,3,6,7,5,0,1,4,8
43,6,0,7,8,1,3,4,2,5
44,8,0,5,7,6,3,1,2,4
45,7,0,8,1,2,5,4,3,6
46,3,8,6,5,7,2,1,0,4
47,7,4,2,6,5,0,3,8,1
48,6,0,2,5,7,1,3,8,4
49,8,3,7,4,6,5,0,2,1
50,7,0,5,1,3,2,4,6,8
51,8,1,5,3,4,2,0,7,6
52,1,2,5,6,3,8,7,0,4
53,8,2,3,5,6,1,4,0,7
54,8,7,1,6,5,0,3,2,4
55,0,3,1,7,4,2,5,8,6
56,3,5,6,4,0,1,2,8,7
57,2,4,3,5,6,0,7,1,8
58,6,3,8,1,2,0,4,5,7
59,8,1,5,7,0,4,2,3,6
60,2,0,6,3,5,7,1,4,8
61,2,1,6,7,3,4,5,8,0
62,6,4,1,3,0,7,8,5,2
63,3,2,5,7,0,6,8,1,4
64,0,7,1,6,4,2,5,3,8
65,8,7,1,2,4,0,5,6,3
66,8,0,2,7,3,5,4,1,6
67,1,0,7,3,4,6,8,5,2
68,2,1,7,6,5,4,8,3,0
69,4,6,3,2,0,8,1,7,5
70,2,3,0,6,8,5,1,7,4
71,5,7,0,1,4,6,3,2,8
72,0,5,2,7,1,6,3,4,8
73,3,2,0,4,7,1,5,6,8
74,1,3,7,4,2,0,5,8,6
75,5,8,6,2,3,0,7,4,1
76,1,5,3,4,2,8,0,6,7
77,4,5,8,0,2,6,3,1,7
78,3,4,1,5,6,8,7,0,2
79,8,3,1,6,0,7,4,2,5
80,2,6,1,8,3,0,5,7,4
81,1,4,2,6,7,8,0,5,3
82,7,5,2,3,8,1,4,0,6
83,7,2,3,1,6,4,8,0,5
84,1,6,4,0,5,2,8,7,3
85,0,8,6,7,2,1,3,4,5
86,2,7,5,8,4,6,1,0,3
87,1,5,8,7,6,2,0,4,3
88,0,6,5,7,1,3,4,2,8
89,3,7,2,1,5,8,0,6,4
90,2,4,5,7,6,0,8,3,1
91,3,8,2,6,1,0,5,7,4
92,4,8,3,5,7,1,6,0,2
93,5,2,0,6,1,8,4,7,3
94,0,3,8,6,2,5,7,4,1
95,8,0,2,1,4,3,6,5,7
96,2,1,4,3,0,7,6,5,8
97,0,2,7,1,3,4,6,8,5
98,6,8,4,7,1,2,3,5,0
99,2,6,3,1,4,8,5,7,0
100,4,0,3,7,6,1,2,8,5
101,5,3,8,1,2,7,6,4,0
102,8,2,7,3,0,4,1,5,6
103,3,0,2,5,7,4,1,6,8
104,6,0,1,7,4,2,8,5,3
105,1,7,4,3,8,5,2,0,6
106,3,7,5,2,1,4,6,8,0
107,4,0,2,6,5,1,8,3,7
108,4,7,2,6,3,1,8,5,0
109,1,5,8,6,4,7,2,3,0
110,5,1,2,3,4,8,6,7,0
111,1,5,3,6,4,0,7,2,8
112,1,3,6,5,4,0,8,7,2
113,8,1,6,5,4,3,7,2,0
114,8,5,0,1,4,7,3,6,2
115,7,2,3,8,5,1,4,0,6
116,5,2,3,4,0,1,8,6,7
117,1,2,5,7,8,4,3,6,0
118,0,6,3,4,7,1,5,8,2
119,4,8,3,6,2,7,1,0,5
120,5,1,0,3,6,7,8,4,2
121,1,3,8,0,2,6,4,7,5
122,6,7,2,1,0,3,5,4,8
123,3,1,5,0,6,8,7,2,4
124,7,8,6,3,5,4,1,0,2
125,8,2,5,3,0,1,7,6,4
126,1,2,3,6,8,5,7,4,0
127,0,6,5,1,8,2,4,3,7
128,0,1,2,4,6,7,8,5,3
129,1,4,3,6,7,0,5,8,2
