,0,1,2,3,4,5,6,7,8
0,3,2,4,6,1,0,7,8,5
1,1,2,5,0,3,7,6,8,4
2,1,4,2,0,7,5,3,6,8
3,1,2,5,3,7,4,6,0,8
4,1,2,5,6,3,8,4,0,7
5,1,2,5,0,7,4,3,6,8
6,3,1,2,6,4,5,7,0,8
7,1,0,5,7,2,4,3,6,8
8,1,4,2,0,3,5,6,7,8
9,1,4,2,3,5,8,6,0,7
10,1,4,2,6,5,0,7,3,8
11,3,1,2,0,6,4,7,8,5
12,1,0,2,3,4,5,6,7,8
13,3,0,1,4,5,2,6,7,8
14,3,1,2,4,5,8,6,0,7
15,4,3,2,1,5,0,6,7,8
16,1,2,5,3,4,0,6,7,8
17,1,5,4,0,2,8,3,6,7
18,1,0,2,3,4,5,6,7,8
19,3,1,2,0,4,5,6,7,8
20,1,4,2,0,7,5,3,6,8
21,3,1,2,0,6,5,7,4,8
22,1,4,2,0,3,5,6,7,8
23,3,1,2,0,6,4,7,8,5
24,3,1,2,6,4,5,7,0,8
25,1,0,2,3,4,5,6,7,8
26,3,1,2,6,4,5,7,0,8
27,1,2,5,4,8,0,3,6,7
28,3,1,2,4,7,0,6,8,5
29,1,2,5,0,3,4,6,7,8
30,4,3,1,0,5,2,6,7,8
31,1,2,5,3,4,8,6,0,7
32,3,0,1,4,7,2,6,8,5
33,1,0,4,3,5,2,6,7,8
34,1,4,2,0,3,5,6,7,8
35,3,1,2,5,8,0,4,6,7
36,1,5,4,3,2,8,6,0,7
37,1,4,2,0,3,5,6,7,8
38,1,2,5,3,7,0,6,8,4
39,2,0,5,3,4,1,6,7,8
40,4,0,2,1,3,8,6,5,7
41,1,0,4,3,5,2,6,7,8
42,3,1,2,4,8,0,6,5,7
43,4,0,2,1,5,8,3,6,7
44,1,2,5,3,7,4,6,0,8
45,1,0,2,3,4,5,6,7,8
46,3,0,5,6,2,1,7,4,8
47,1,0,2,3,4,5,6,7,8
48,3,1,2,0,4,5,6,7,8
49,4,3,2,0,1,5,6,7,8
50,3,5,1,4,7,2,6,0,8
51,1,2,5,3,4,8,6,0,7
52,3,1,4,0,7,2,6,8,5
53,3,1,2,4,7,5,6,0,8
54,1,4,2,3,7,5,6,0,8
55,1,4,2,0,7,5,3,6,8
56,1,4,2,6,3,5,7,0,8
57,1,0,2,3,4,5,6,7,8
58,1,4,2,3,5,0,6,7,8
59,4,3,2,0,1,7,6,8,5
60,3,2,5,4,1,0,6,7,8
61,6,3,2,0,1,5,7,4,8
62,3,1,2,6,5,8,7,0,4
63,5,3,4,1,7,2,6,0,8
64,6,1,2,0,4,5,7,3,8
65,3,0,1,4,5,2,6,7,8
66,1,2,5,3,8,0,6,4,7
67,1,5,4,3,2,0,6,7,8
68,1,4,2,6,3,5,7,0,8
69,3,0,1,6,4,2,7,8,5
70,6,3,2,7,1,4,8,0,5
71,3,0,2,6,1,8,7,5,4
72,3,2,5,4,1,0,6,7,8
73,1,4,2,0,6,5,7,3,8
74,3,1,2,0,8,4,6,7,5
75,1,0,5,3,2,8,6,4,7
76,1,4,2,0,3,5,6,7,8
77,1,2,5,0,4,8,3,6,7
78,3,0,2,4,1,5,6,7,8
79,1,0,2,3,4,5,6,7,8
80,4,3,2,0,1,5,6,7,8
81,1,2,5,3,4,8,6,0,7
82,1,4,2,3,5,0,6,7,8
83,1,4,2,3,7,5,6,0,8
84,2,5,8,1,4,0,3,6,7
85,3,0,2,4,1,5,6,7,8
86,4,0,2,1,3,5,6,7,8
87,1,4,2,3,7,5,6,0,8
88,3,1,2,6,4,5,7,0,8
89,1,2,5,0,3,8,6,4,7
90,1,4,2,6,3,5,7,0,8
91,1,0,5,3,2,4,6,7,8
92,1,4,2,3,7,5,6,0,8
93,1,4,2,0,3,7,6,8,5
94,3,1,2,6,5,0,7,4,8
95,1,0,2,3,4,8,6,5,7
96,3,1,2,6,5,8,7,0,4
97,3,1,2,6,4,5,7,0,8
98,3,0,2,4,1,7,6,8,5
99,1,0,2,3,4,5,6,7,8
